Model,Metric,dataset,Data,Intercept,Mtry,Ncomp,C,Mean_Degree,Mean_Scale,Mean_Sigma,Mean_Performance,Std_Dev_Performance,Range_Performance,N,Splitting
PCR,RMSE,abs_training,Spectra,NA,NA,83,NA,NA,NA,NA,0.01870733786652404,0.0014615348548325678,0.005668588740843552,20,Random
PCR,RMSE,sq_training,Spectra,NA,NA,9,NA,NA,NA,NA,0.01870714246490749,0.0015601406799230061,0.004850713014939969,20,Random
PCR,RMSE,std_training,Spectra,NA,NA,62,NA,NA,NA,NA,0.018700664885733798,0.001551187503241495,0.00502276875302738,20,Random
PCR,RMSE,base_training,Spectra,NA,NA,84,NA,NA,NA,NA,0.018700417061596877,0.001340008085993654,0.005083343934997885,20,Random
PCR,RMSE,abs_training,Spectra,NA,NA,10,NA,NA,NA,NA,0.01869845673155432,0.0015601084243360443,0.004768541125106114,20,Random
PCR,RMSE,base_training,Spectra,NA,NA,12,NA,NA,NA,NA,0.01869774234207339,0.001690426454905339,0.0056899937923430705,20,Random
SVMP,RMSE,max_training,Spectra,NA,NA,NA,2.023,1.3,0.0955,NA,0.018695511248471387,0.0013352807833212851,0.0044951031261498305,20,Random
SVMP,RMSE,abs_training,Spectra,NA,NA,NA,11.767,1.15,0.0955,NA,0.01868658898249145,0.002714728314136426,0.01116876840487226,20,Random
SVMP,RMSE,abs_training,Spectra,NA,NA,NA,4.375,1.2,0.1,NA,0.01868252876473925,0.0015597940266246484,0.004337194013072157,20,Random
SVMP,RMSE,max_training,Spectra,NA,NA,NA,2.2680000000000002,1.3,0.0955,NA,0.018682095900103918,0.0013734623172960592,0.004810122648311915,20,Random
SVML,RMSE,std_training,Spectra,NA,NA,NA,16.128,NA,NA,NA,0.018678750446450967,0.001757067780909566,0.006711027555093747,20,Random
PCR,RMSE,base_training,Spectra,NA,NA,83,NA,NA,NA,NA,0.01867681884348839,0.0013957565294821104,0.00551819444046308,20,Random
PCR,RMSE,abs_training,Spectra,NA,NA,9,NA,NA,NA,NA,0.018675729329951263,0.0015490662526062627,0.0048049848812710405,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,7,NA,NA,NA,NA,0.018670276804454756,0.0015760440453614995,0.004800848627006627,20,Random
SVMP,RMSE,std_training,Spectra,NA,NA,NA,2.527,1.6,0.0505,NA,0.01866376298091491,0.002212387624400668,0.008342873845417768,20,Random
SVMP,RMSE,abs_training,Spectra,NA,NA,NA,12.348,1.15,0.0955,NA,0.01866346448125783,0.0027230740864469275,0.011243052234446809,20,Random
PCR,RMSE,base_training,Spectra,NA,NA,11,NA,NA,NA,NA,0.01866277087591679,0.0017281565210488508,0.006200632330836026,20,Random
PCR,RMSE,sq_training,Spectra,NA,NA,69,NA,NA,NA,NA,0.018661600560676533,0.0017198260254993006,0.005875925506220903,20,Random
SVMP,RMSE,max_training,Spectra,NA,NA,NA,1.792,1.25,0.1,NA,0.01866043567405584,0.0013929083379092579,0.004830674878198764,20,Random
PCR,RMSE,base_training,Spectra,NA,NA,10,NA,NA,NA,NA,0.018653960518016058,0.0016954876510071565,0.005746757350730117,20,Random
PCR,RMSE,std_training,Spectra,NA,NA,59,NA,NA,NA,NA,0.01865078025214908,0.001594474961107051,0.0057377498436111014,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,8,NA,NA,NA,NA,0.018650014074768226,0.0017558841248109319,0.006516965792220612,20,Random
SVML,RMSE,base_training,Spectra,NA,NA,NA,0.5670000000000001,NA,NA,NA,0.018647354087506424,0.0017786813401075138,0.005982032697235615,20,Random
SVMP,RMSE,abs_training,Spectra,NA,NA,NA,4.732,1.2,0.1,NA,0.018642843230711047,0.001563624201220821,0.004352127115886319,20,Random
SVMP,RMSE,abs_training,Spectra,NA,NA,NA,12.943,1.15,0.0955,NA,0.018642830791947267,0.0027253124379717835,0.01127262777729391,20,Random
PCR,RMSE,sq_training,Spectra,NA,NA,13,NA,NA,NA,NA,0.01864142700506672,0.0014807312945760809,0.004926262157879783,20,Random
SVML,RMSE,std_training,Spectra,NA,NA,NA,15.463000000000001,NA,NA,NA,0.018635908887142533,0.0017566627439992042,0.006674741185273399,20,Random
SVML,RMSE,base_training,Spectra,NA,NA,NA,0.847,NA,NA,NA,0.018632114199617824,0.001754721320941032,0.005801242422229687,20,Random
SVML,RMSE,base_training,Spectra,NA,NA,NA,0.7000000000000001,NA,NA,NA,0.018631083157063875,0.0017522838249063402,0.005914134644716747,20,Random
SVML,RMSE,base_training,Spectra,NA,NA,NA,1.008,NA,NA,NA,0.01863008109126384,0.0017499468499090993,0.005847697984780676,20,Random
SVML,RMSE,base_training,Spectra,NA,NA,NA,1.372,NA,NA,NA,0.01862970302986066,0.001740215461164699,0.00559222172156602,20,Random
PCR,RMSE,max_training,Spectra,NA,NA,68,NA,NA,NA,NA,0.01862963637050461,0.0013672682480171765,0.004821176356907219,20,Random
SVML,RMSE,base_training,Spectra,NA,NA,NA,1.183,NA,NA,NA,0.01862916477700723,0.0017564320617828762,0.005805957991879072,20,Random
